#{"t_start": 1773582493.0100296, "env_id": "None"}
r,l,t
-0.959062,12,11.083848
-1.155937,12,11.094002
-0.846562,12,11.104102
3.12375,7,11.110083
-1.199687,12,11.120007
3.10125,3,11.122941
-0.884062,12,11.132684
-1.180937,12,11.142554
-0.593437,12,11.153893
-1.184062,12,11.166655
-1.1825,12,11.184457
-1.174687,12,11.195372
-0.895,12,11.206273
-0.8325,12,11.218999
-0.634062,12,11.239064
-0.691875,12,11.252811
-1.199687,12,11.262774
-0.01375,12,11.27349
-0.61375,12,11.286216
-0.859062,12,11.298245
-0.989062,12,11.308322
-0.693437,12,11.319005
-0.6325,12,11.331984
-1.118437,12,11.347518
-1.15125,12,11.358583
-0.679375,12,11.369708
-1.195,12,11.380888
3.08625,2,11.38339
3.0975,4,11.387217
-0.171563,12,11.39787
-0.660625,12,11.408665
-0.862187,12,11.41947
-0.871562,12,11.431623
-1.17,12,11.442303
3.072812,6,11.448045
3.0975,4,11.451386
-0.90125,12,11.460955
-1.102812,12,11.471063
-1.137187,12,11.480958
-0.843437,12,11.491706
-0.934062,12,11.5074
-0.916875,12,11.521216
-0.654375,12,11.531866
-0.668437,12,11.542762
-0.959062,12,11.556773
-0.17,12,11.569388
-0.821562,12,11.579184
-0.691875,12,11.589059
-0.93875,12,11.598803
-0.9075,12,11.608982
-0.904375,12,11.618806
-0.679375,12,11.628866
-1.1825,12,11.638751
-1.191875,12,11.648596
-0.159063,12,11.659045
-0.915312,12,11.669307
-0.983437,12,11.679345
-1.20125,12,11.689263
-0.895,12,11.700821
-0.969375,12,11.712054
-0.9075,12,11.721851
-0.915312,12,11.731791
-0.909062,12,11.741898
-0.941875,12,11.75219
-0.616875,12,11.76356
-0.680938,12,11.775128
-0.845,12,11.788596
-0.986562,12,11.798918
-0.67625,12,11.811383
-0.618437,12,11.829981
-0.890312,12,11.845899
-0.949687,12,11.866577
-0.6575,12,11.887128
3.1425,7,11.896454
-0.698125,12,11.907185
-0.910625,12,11.919151
-0.929375,12,11.931904
-0.621562,12,11.94408
-1.1825,12,11.961016
-0.045,12,11.983765
-0.590312,12,12.004152
-0.930937,12,12.024534
-0.495,12,12.048645
-0.624687,12,12.069042
-1.224062,12,12.090842
-1.179375,12,12.115655
-0.624688,12,12.134446
-0.13875,12,12.154826
-0.80125,12,12.169867
-0.669375,12,12.197386
3.08625,2,12.203092
-0.665312,12,12.224263
-0.934062,12,12.249362
-1.198125,12,12.271309
-1.184062,12,12.284245
-0.899687,12,12.298145
-0.930937,12,12.310099
-1.141875,12,12.323215
-1.049687,12,12.34115
-0.880937,12,12.352608
-0.937187,12,12.363223
-1.13875,12,12.374697
-1.211562,12,12.386329
3.10125,3,12.392278
-0.87,12,12.408465
-0.659062,12,12.422845
-1.17,12,12.433823
-0.92,12,12.443917
-0.668437,12,12.453931
-1.17,12,12.46354
-0.644375,12,12.474979
-1.202812,12,12.489357
3.08125,5,12.495201
-0.856562,12,12.506814
-0.6075,12,12.519265
-1.115312,12,12.529415
-0.665312,12,12.539397
-0.955937,12,12.549331
-1.165312,12,12.55949
-0.899687,12,12.56955
-1.18875,12,12.579349
-0.602812,12,12.589336
-0.624687,12,12.599364
-0.941875,12,12.609396
-0.887187,12,12.619909
-1.173125,12,12.630164
-0.945,12,12.640298
-1.1825,12,12.65068
-0.6575,12,12.661865
-0.93875,12,12.677004
-0.641875,12,12.688673
-0.62,12,12.699455
-0.954375,12,12.710381
-0.848125,12,12.721087
-0.659062,12,12.731785
-0.941875,12,12.74277
-0.6825,12,12.75404
3.11,9,12.763373
-0.645,12,12.77561
-0.941875,12,12.790637
-1.16375,12,12.801266
-0.923125,12,12.811819
-0.943437,12,12.822144
-0.927812,12,12.832906
-0.68875,12,12.843985
-0.934062,12,12.858511
-0.885625,12,12.8739
-0.566875,12,12.888001
-0.640312,12,12.905608
3.10125,3,12.910679
-0.93875,12,12.929464
-0.97875,12,12.944913
3.0975,4,12.950671
-0.880937,12,12.96565
-0.188125,12,12.976781
3.10125,3,12.979855
-0.916875,12,12.990422
0.056563,12,13.003495
-1.2075,12,13.017089
-0.160625,12,13.030616
-1.184062,12,13.044956
-0.595,12,13.056164
-1.16375,12,13.07125
-0.65125,12,13.082345
-0.669375,12,13.092662
-1.1575,12,13.103392
-0.909062,12,13.114192
-0.874687,12,13.128003
-1.213125,12,13.139699
-1.185625,12,13.150328
-1.187187,12,13.161054
-1.177812,12,13.171052
-1.162187,12,13.185435
-0.905937,12,15.869989
-1.116875,12,15.882751
-0.981875,12,15.895559
-0.940312,12,15.90762
-0.940312,12,15.919325
-0.873125,12,15.9322
3.08625,2,15.934913
-0.687188,12,15.946974
-0.934062,12,15.959448
-0.637187,12,15.971624
3.08625,2,15.974379
